task,libero_10,libero_spatial,libero_object,libero_goal
libero_10,1.000000000000,0.048576195995,0.052842211365,0.049357678180
libero_spatial,0.048576195995,1.000000000000,0.052164204667,0.054143477866
libero_object,0.052842211365,0.052164204667,1.000000000000,0.048923983287
libero_goal,0.049357678180,0.054143477866,0.048923983287,1.000000000000
