model,cos_to_joint,rel_l2_to_joint,delta_norm,joint_delta_norm
mean4_iter0,0.173130963693,1.019450017129,107.367224052329,246.091427499903
mean4_iter100,0.168666032478,1.050855753468,131.169029139831,246.091427499903
ft_from_500,0.153224933754,1.786182880899,403.873455780324,246.091427499903
ft_from_1k,0.137078496846,1.791522833501,401.090284581625,246.091427499903
