module,layer,task,r_in_2task_mean,r_in_4task_mean,drop_r,cos_with_2task_mean,cos_with_4task_mean,norm_ratio_2task_mean,norm_ratio_4task_mean
gating_einsum,0,libero_10,0.523980810871,0.286780137399,-0.237200673472,0.738041697411,0.552594273895,0.709960985551,0.518970519506
gating_einsum,0,libero_spatial,0.526058871387,0.292004516517,-0.234054354869,0.710810764346,0.539760390669,0.740082871241,0.540989152901
gating_einsum,0,libero_object,0.062688682236,0.295567730806,0.232879048571,0.080636200397,0.520103441616,0.777426043471,0.568286435268
gating_einsum,0,libero_goal,0.053146566312,0.289025292021,0.235878725710,0.073063078891,0.543563645601,0.727406606980,0.531722999432
gating_einsum,1,libero_10,0.516780492445,0.276431244487,-0.240349247958,0.725394941205,0.532853868850,0.712412594974,0.518774959978
gating_einsum,1,libero_spatial,0.517425138002,0.278268538683,-0.239156599320,0.712738424878,0.526379951159,0.725967788380,0.528645777769
gating_einsum,1,libero_object,0.039420093991,0.278810693231,0.239390599240,0.053582922572,0.520440100136,0.735683910071,0.535721004508
gating_einsum,1,libero_goal,0.037727682918,0.277617417790,0.239889734872,0.052289228048,0.528386107696,0.721519217757,0.525406352943
gating_einsum,2,libero_10,0.516228440164,0.275091540634,-0.241136899530,0.724786076544,0.530705642366,0.712249388986,0.518350510478
gating_einsum,2,libero_spatial,0.516829540739,0.277096456230,-0.239733084510,0.712553537535,0.524940037589,0.725320293163,0.527863063184
gating_einsum,2,libero_object,0.036695118330,0.276948243880,0.240253125550,0.050224140431,0.520848467421,0.730627105117,0.531725177673
gating_einsum,2,libero_goal,0.036042829947,0.276411745877,0.240368915929,0.049945926323,0.526315594559,0.721637030302,0.525182511661
gating_einsum,3,libero_10,0.515239264032,0.273834703577,-0.241404560455,0.722630687142,0.527551333786,0.713004959795,0.519067408307
gating_einsum,3,libero_spatial,0.515669433308,0.275423476757,-0.240245956552,0.713237534037,0.523278085314,0.722998171997,0.526342463953
gating_einsum,3,libero_object,0.034299631086,0.274978427917,0.240678796832,0.047310140070,0.520993373648,0.724995340001,0.527796401693
gating_einsum,3,libero_goal,0.034044425146,0.274724552295,0.240680127149,0.047341482123,0.524761674618,0.719124615864,0.523522516188
gating_einsum,4,libero_10,0.513794982990,0.271471751342,-0.242323231648,0.722169001031,0.525808334368,0.711460866164,0.516294120115
gating_einsum,4,libero_spatial,0.514228580125,0.272921826201,-0.241306753924,0.711680385449,0.520500189881,0.722555504745,0.524345296134
gating_einsum,4,libero_object,0.031063149573,0.272507369188,0.241444219615,0.042901639432,0.518633408937,0.724055070707,0.525433503688
gating_einsum,4,libero_goal,0.030365429583,0.272043843880,0.241678414297,0.042286999538,0.522059714839,0.718079549628,0.521097177483
gating_einsum,5,libero_10,0.514180960527,0.272042273294,-0.242138687233,0.721952058606,0.525636781541,0.712209286473,0.517548015754
gating_einsum,5,libero_spatial,0.514585797672,0.273540221381,-0.241045576291,0.712422939864,0.521144642919,0.722303801406,0.524883494626
gating_einsum,5,libero_object,0.032005568971,0.273238365264,0.241232796293,0.044223608609,0.519549927085,0.723721332970,0.525913586008
gating_einsum,5,libero_goal,0.030926278086,0.272568095357,0.241641817271,0.043123328474,0.523017982939,0.717158883150,0.521144787079
gating_einsum,6,libero_10,0.513202450264,0.270877882403,-0.242324567862,0.719077915237,0.523164657990,0.713695191285,0.517767930737
gating_einsum,6,libero_spatial,0.513408491811,0.271858901936,-0.241549589875,0.713818142049,0.521009587439,0.719242705624,0.521792513017
gating_einsum,6,libero_object,0.030294942956,0.271847405815,0.241552462859,0.042000106412,0.519497028090,0.721306338103,0.523289626535
gating_einsum,6,libero_goal,0.029121565099,0.271207638476,0.242086073377,0.040534246479,0.520339663892,0.718443479979,0.521212694891
gating_einsum,7,libero_10,0.515390977972,0.273784958685,-0.241606019286,0.720236497630,0.525477547550,0.715585755051,0.521021230997
gating_einsum,7,libero_spatial,0.515598627218,0.274821042776,-0.240777584442,0.715714777767,0.523943529292,0.720396788266,0.524524166082
gating_einsum,7,libero_object,0.034205287717,0.274788085540,0.240582797823,0.047373457795,0.522692178689,0.722034854725,0.525716849695
gating_einsum,7,libero_goal,0.032514440028,0.273886280241,0.241371840214,0.045197770242,0.522898354252,0.719381506075,0.523784934519
gating_einsum,8,libero_10,0.513491384603,0.271618623460,-0.241872761143,0.718458301918,0.523137998868,0.714712855613,0.519210273479
gating_einsum,8,libero_spatial,0.513637409545,0.272338565737,-0.241298843808,0.714804656749,0.521708831816,0.718570318051,0.522012565493
